==22727== NVPROF is profiling process 22727, command: ./gauss_gpu img/src/facultad.jpg img/dest/facultad.jpg 2 16
==22727== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22727== Profiling application: ./gauss_gpu img/src/facultad.jpg img/dest/facultad.jpg 2 16
Width:1024, Height:768 Size(in Bytes):9437184
block.x=2, block.y=16, grid.x=512, grid.y=48
Time: 5.835472
Done!
==22727== Profiling result:
==22727== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          3                    dram_read_transactions                                       Device Memory Read Transactions       24592       24936       24707
          3                   dram_write_transactions                                      Device Memory Write Transactions       25371       25515       25459
          3                      dram_read_throughput                                         Device Memory Read Throughput  88.290MB/s  90.036MB/s  89.038MB/s
          3                     dram_write_throughput                                        Device Memory Write Throughput  91.514MB/s  92.125MB/s  91.748MB/s
          3                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          3             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          3                          ecc_transactions                                                      ECC Transactions           0           0           0
          3                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          3                           dram_read_bytes                                Total bytes read from DRAM to L2 cache      786944      797952      790624
          3                          dram_write_bytes                             Total bytes written from L2 cache to DRAM      811872      816480      814688
